unique_id,title,author_keywords,abstract,keywords_plus,doi,"require_full_text(1,0)","screening (include, exclude, uncertain)",screener_id,note
Example,,,,,Example,,include,1,
1363,enabling open science for health research: collaborative informatics environment for learning on health outcomes (cielo),healthcare research; information dissemination; open access to; information; social networking; reproducibility of results,"background: there is an emergent and intensive dialogue in the united states with regard to the accessibility, reproducibility, and rigor of health research. this discussion is also closely aligned with the need to identify sustainable ways to expand the national research enterprise and to generate actionable results that can be applied to improve the nation's health. the principles and practices of open science offer a promising path to address both goals by facilitating (1) increased transparency of data and methods, which promotes research reproducibility and rigor; and (2) cumulative efficiencies wherein research tools and the output of research are combined to accelerate the delivery of new knowledge in proximal domains, thereby resulting in greater productivity and a reduction in redundant research investments. objectives: academyhealth's electronic data methods (edm) forum implemented a proof-of-concept open science platform for health research called the collaborative informatics environment for learning on health outcomes (cielo). methods: the edm forum conducted a user-centered design process to elucidate important and high-level requirements for creating and sustaining an open science paradigm. results: by implementing cielo and engaging a variety of potential users in its public beta testing, the edm forum has been able to elucidate a broad range of stakeholder needs and requirements related to the use of an open science platform focused on health research in a variety of ``real world'' settings. conclusions: our initial design and development experience over the course of the cielo project has provided the basis for a vigorous dialogue between stakeholder community members regarding the capabilities that will add the greatest value to an open science platform for the health research community. a number of important questions around user incentives, sustainability, and scalability will require further community dialogue and agreement.",,10.2196/jmir.6937,0,include,3,
985,challenges and best practices associated with sharing research materials and research data for communication scholars,open science practices; data sharing; tidy data; transparency;; scientific publication,"scientific practices are constantly evolving to meet the best practices and standards available at a point in time. in the current publication environment, advances in communication technology in tandem with concerns about the transparency of extant communication scholarship have encouraged many to reconsider how we share knowledge with one another. among a broader suite of open science practices, two specific changes have been advocated for: sharing research materials and sharing research data. as part of an ongoing conversation within communication science, this essay summarizes and explains how researchers can critically consider so-called ``open materials'' and ``open data'' when publishing in communication studies as well as other communication and adjacent journals.",,10.1080/10510974.2020.1799488,0,include,5,
2087,open sesame: r for data science is open science,,,,10.4033/iee.2017.10.1.e,1,include,5,
986,leveraging container technologies in a giscience project: a perspective from open reproducible research,reproducibility; open science; open reproducible research; giscience;; containerisation; dockers; uml,"scientific reproducibility is essential for the advancement of science. it allows the results of previous studies to be reproduced, validates their conclusions and develops new contributions based on previous research. nowadays, more and more authors consider that the ultimate product of academic research is the scientific manuscript, together with all the necessary elements (i.e., code and data) so that others can reproduce the results. however, there are numerous difficulties for some studies to be reproduced easily (i.e., biased results, the pressure to publish, and proprietary data). in this context, we explain our experience in an attempt to improve the reproducibility of a giscience project. according to our project needs, we evaluated a list of practices, standards and tools that may facilitate open and reproducible research in the geospatial domain, contextualising them on peng's reproducibility spectrum. among these resources, we focused on containerisation technologies and performed a shallow review to reflect on the level of adoption of these technologies in combination with osgeo software. finally, containerisation technologies proved to enhance the reproducibility and we used uml diagrams to describe representative work-flows deployed in our giscience project.",framework; gis; software; growth,10.3390/ijgi9030138,1,include,5,
137,"open science, communal culture, and women's participation in the movement to improve science",open science; reproducibility; replicability; women; culture,"science is undergoing rapid change with the movement to improve science focused largely on reproducibility/replicability and open science practices. this moment of change-in which science turns inward to examine its methods and practices-provides an opportunity to address its historic lack of diversity and noninclusive culture. through network modeling and semantic analysis, we provide an initial exploration of the structure, cultural frames, and women's participation in the open science and reproducibility literatures (n = 2,926 articles and conference proceedings). network analyses suggest that the open science and reproducibility literatures are emerging relatively independently of each other, sharing few common papers or authors. we next examine whether the literatures differentially incorporate collaborative, prosocial ideals that are known to engage members of underrepresented groups more than independent, winner-takes-all approaches. we find that open science has a more connected, collaborative structure than does reproducibility. semantic analyses of paper abstracts reveal that these literatures have adopted different cultural frames: open science includes more explicitly communal and prosocial language than does reproducibility. finally, consistent with literature suggesting the diversity benefits of communal and prosocial purposes, we find that women publish more frequently in high-status author positions (first or last) within open science (vs. reproducibility). furthermore, this finding is further patterned by team size and time. women are more represented in larger teams within reproducibility, and women's participation is increasing in open science over time and decreasing in reproducibility. we conclude with actionable suggestions for cultivating a more prosocial and diverse culture of science.",racial diversity; gender; impact; reproducibility; congruity; teams;; performance; technology; dominance; students,10.1073/pnas.1921320117,0,include,3,
1762,postprints-to-preprints linkage to enhance access to scientific literature,preprint servers; article processing charge (apc); open science; repository; preprint to postprint linking; postprint to preprint linkage,"preprint servers can enhance the access to scientific literature by bidirectional linkage from published papers (postprints) to their counterpart preprint versions. the current state of linkage is to link preprints to their corresponding postprints (peer-reviewed articles published in journals). here, i suggest an opposite automated linkage, from postprints to preprints wherever and whenever preprints are posted on a preprint server. such connection from paid postprint versions to free preprint versions makes sense as it removes the barriers to get access to paywalled publications freely and easily.",business,10.1080/08989621.2021.2019024,0,include,3,
1584,to what extent is researchers' data-sharing motivated by formal mechanisms of recognition and credit?,data sharing; data reuse; data citation; professional age-cohort; differences; open data; open science,"data sharing by researchers is a centerpiece of open science principles and scientific progress. for a sample of 6019 researchers, we analyze the extent/frequency of their data sharing. specifically, the relationship with the following four variables: how much they value data citations, the extent to which their data-sharing activities are formally recognized, their perceptions of whether sufficient credit is awarded for data sharing, and the reported extent to which data citations motivate their data sharing. in addition, we analyze the extent to which researchers have reused openly accessible data, as well as how data sharing varies by professional age-cohort, and its relationship to the value they place on data citations. furthermore, we consider most of the explanatory variables simultaneously by estimating a multiple linear regression that predicts the extent/frequency of their data sharing. we use the dataset of the state of open data survey 2019 by springer nature and digital science. results do allow us to conclude that a desire for recognition/credit is a major incentive for data sharing. thus, the possibility of receiving data citations is highly valued when sharing data, especially among younger researchers, irrespective of the frequency with which it is practiced. finally, the practice of data sharing was found to be more prevalent at late research career stages, despite this being when citations are less valued and have a lower motivational impact. this could be due to the fact that later-career researchers may benefit less from keeping their data private.",access,10.1007/s11192-021-03869-3,0,include,5,
589,"blockchain, wikis, and the ideal science machine: with an example from genomics",wiki; blockchain; genomics; open science; open source,"until now we have lacked a technology that could well capture the processes of science in a way that preserves every step, and creates a full audit trail such that nearly complete transparency is maintained. combining wiki technologies and blockchain provides us with a new opportunity: to create a ``science machine'' that folds all processes together, from instrument to publication, and enabling science to proceed as never before with greater transparency, accountability, and reproducibility. here, i discuss the theory and method that might be combined to create such a science machine with special reference to the nature of genomic science.",,10.3389/fbloc.2019.00025,0,include,3,
1903,"elem: funding\_org\_group pbyr: 2020 item: 061 seqn: 2 emsg: <funding\_org\_name>-fund05 funding\_org\_name first character not alpha or diacritic in upper case [value = ``open research fund of key laboratory of mems of ministry of education, southeast university''] transient simulation for the thermal design optimization of pulse operated algan/gan hemts",algan/gan hemts; thermal simulation; transient channel temperature;; pulse width; gate structures,"the thermal management and channel temperature evaluation of gan power amplifiers are indispensable issues in engineering field. the transient thermal characteristics of pulse operated algan/gan high electron mobility transistors (hemt) used in high power amplifiers are systematically investigated by using three-dimensional simulation with the finite element method. to improve the calculation accuracy, the nonlinear thermal conductivities and near-junction region of gan chip are considered and treated appropriately in our numerical analysis. the periodic transient pulses temperature and temperature distribution are analyzed to estimate thermal response when gan amplifiers are operating in pulsed mode with kilowatt-level power, and the relationships between channel temperatures and pulse width, gate structures, and power density of gan device are analyzed. results indicate that the maximal channel temperature and thermal impedance of device are considerably influenced by pulse width and power density effects, but the changes of gate fingers and gate width have no effect on channel temperature when the total gate width and active area are kept constant. finally, the transient thermal response of gan amplifier is measured using ir thermal photogrammetry, and the correctness and validation of the simulation model is verified. the study of transient simulation is demonstrated necessary for optimal designs of pulse-operated algan/gan hemts.",temperature; substrate; impact,10.3390/mi11010076,0,exclude,3,
