unique_id,title,author_keywords,abstract,keywords_plus,doi
2133,inclusion and accessibility in open science practices in behavioral medicine,,,,
2192,the replication crisis and open science in psychology methodological challenges and developments,,,statistical tests; replicability,10.1027/2151-2604/a000389
1514,the regression trap and other pitfalls of replication scienceillustrated by the report of the open science collaboration,,"the open science collaboration's 2015 report suggests that replication effect sizes in psychology are modest. however, closer inspection reveals serious problems. when plotting replication effects are against original effects, the regression trap is lurking: expecting replication effects to be equally strong as original effects is logically unwarranted; they are inevitably subject to regressive shrinkage. to control for regression, the reliability of original and replication studies must be taken into account. further problems arise from missing manipulation checks and sampling biases. our critical comment highlights the need for replication science to live up to the same methodological scrutiny as other research.",representative design; ability,10.1080/01973533.2017.1421953
2270,journal adoption of open research author guidelines to promote data transparency and reproducibility,,,,
1603,the varieties of student experience - an open research question and some ways to answer it,,"based on meetings of the society for research into higher education's student experience network over the past three years, the genuinely open research question is posed whether there is one or more undergraduate student experience within english higher education. answering this question depends on whether what is taught or what is learnt is examined. if the latter, then a unitary student experience can be said to exist only in the narrowest of normative senses. what undergraduates actually learn - defined in the widest sense - is the \$64,000 question of research on the student experience. various ways to answer this question are proposed, including using students to research students. conceptual tools to apply to findings can be developed from youth studies and cognate disciplines, particularly in relation to student identities and aspirations. lastly, these proposals are placed in the wider context of comparative models of the varieties of student experience, including those emerging in the uk's national regions.",,10.1080/03075070802373222
1065,"green industrial networking: recent advances, taxonomy, and open research challenges",,"the consciousness of environmental problems has attracted the industry's attention toward the reduction of unnecessary energy emission by enabling green industrial networking. the reduction of unnecessary energy emitted by industrial networks can be a possible solution to many environmental issues. green industrial networking is in its infancy, and an overview of the domain is still lacking. in this article, we discuss recent advances in industrial and green networking paradigms to investigate the impact on global communities. we also classify the literature by devising a taxonomy based on networking technologies, machines, network types, topologies, field bus types, transmission media, and hierarchical levels. moreover, we identify and discuss key enablers (adaptive links, resource-based energy conservation, energy-efficient scheduling, energy-aware systems, energy-aware proxying, energy-conservative approaches, and low-power wireless protocols) for green industrial networking. furthermore, we discuss challenges that remain to be addressed as future research directions.",,10.1109/mcom.2016.7588227
2003,earth observation open science and innovation,,,,10.1007/978-3-319-65633-5
1927,open science,,,,
1944,jpa promotes open science,,,,10.1080/00223891.2017.1319711
396,open access-or open science?,,"open access mandates in europe raise the question if the priority is to reduce publishing costs, or the overdue conversion to open science communication. at risk are not only high-quality journals, but also community institutions and international research collaboration.",,10.15252/embj.2018101215
2090,"introducing a new journal, biological psychiatry: global open science",,,,10.1016/j.biopsych.2020.10.005
798,the cedps troubleshooting architecture and deployment on the open science grid,,"tracking failures and poor performance across a widely distributed system of resources has proven challenging for many ongoing doe applications. an example is the open science grid (osg) project, which currently experiences a roughly 15\% job failure rate. this can be an issue not only for grid computing but for anyone performing large-scale data transfers to remote machines because of the large number of interconnected components and services. as part of the center for enabling distributed petascale science (cedps) project we have been building an infrastructure to work with current middleware and existing system tools to more easily track failures and discover anomalous behavior. this consists of a common logging format, the extension of syslog-ng for centralized collection of data, a data summarizer to more easily manage the volume of logging, and an anomaly detection system that can connect to a warning system when unexpected behaviors occur. we are currently working with osg to deploy a prototype of the full system. the initial logs gathered will be used to extend the analysis tools and to increase the reliability of the services for the scidac end user community.",,10.1088/1742-6596/78/1/012075
2058,data stewardship for open science: implementing fair principles,,,,
2065,"postgraduate programs in science communication, and open science",,,,
423,can open science change the world?,,cormuter hosts a virtual roundtable with six experts to discuss the potential and effects of open science.,,10.1109/mc.2020.3001466
2259,open science to address covid-19: sharing data to make our research investment go further,,,,10.1007/s43441-020-00250-z
2147,common agency contracting and the emergence of ``open science'' institutions,,,,
1769,high-performance mining of covid-19 open research datasets for text classification and insights in cloud computing environments,,"the covid-19 global pandemic is an unprecedented health crisis. many researchers around the world have produced an extensive collection of literature since the outbreak. analysing this information to extract knowledge and provide meaningful insights in a timely manner requires a considerable amount of computational power. cloud platforms are designed to provide this computational power in an on-demand and elastic manner. specifically, hybrid clouds, composed of private and public data centers, are particularly well suited to deploy computationally intensive workloads in a cost-efficient, yet scalable manner. in this paper, we developed a system utilising the aneka platform as a service middleware with parallel processing and multi-cloud capability to accelerate the data process pipeline and article categorising process using machine learning on a hybrid cloud. the results are then persisted for further referencing, searching and visualising. the performance evaluation shows that the system can help with reducing processing time and achieving linear scalability. beyond covid-19, the application might be used directly in broader scholarly article indexing and analysing.",,10.1109/ucc48980.2020.00048
2309,comments to jean-claude burgelman's article politics and open science: how the european open science cloud became reality (the untold story) -the twin challenge of the hard-core change and the cultural shift. the role of the chorus in the greek drama,,,,10.1162/dint\_a\_00070
2089,comments to jean-claude burgelman's article politics and open science: how the european open science cloud became reality (the untold story),,,,10.1162/dint\_a\_00089
1245,scalable open science approach for mutation calling of tumor exomes using multiple genomic pipelines,,"the cancer genome atlas (tcga) cancer genomics dataset includes over 10,000 tumor-normal exome pairs across 33 different cancer types, in total >400 tb of raw data files requiring analysis. here we describe the multi-center mutation calling in multiple cancers project, our effort to generate a comprehensive encyclopedia of somatic mutation calls for the tcga data to enable robust cross-tumor-type analyses. our approach accounts for variance and batch effects introduced by the rapid advancement of dna extraction, hybridization-capture, sequencing, and analysis methods over time. we present best practices for applying an ensemble of seven mutation-calling algorithms with scoring and artifact filtering. the dataset created by this analysis includes 3.5 million somatic variants and forms the basis for pancan atlas papers. the results have been made available to the research community along with the methods used to generate them. this project is the result of collaboration from a number of institutes and demonstrates how team science drives extremely large genomics projects.",somatic point mutations; cancer,10.1016/j.cels.2018.03.002
2295,"where we are at: impact, special collections, open science and registered report at the journal of phonetics",,,,10.1016/j.wocn.2021.101113
2222,new initiatives to promote open science at the journal of memory and language,,,,10.1016/j.jml.2018.10.004
420,usage of the open science grid,,"over the last year, the open science grid usage has seen a substantial increase in cpu usage; from june 2008 to january 2009, the usage went from approximately 6 million wall hours to 14 million wall hours. this increase has come from ramp-up of the wlcg experiments and increased interest from fnal run-ii experiments. we present the current usage patterns and analyze how increased rep usage has affected non-hep usage of the grid. we present various means of measuring the ``size'' of the open science grid and determining the grid-accessible portion of clusters, and discuss difficulties of performing quantitative measurements in a distributed collaborative environment. finally, we look forward to future challenges presented by continued growth of the grid, especially with regards to upcoming lhc collisions.",,10.1007/978-1-4419-6469-4\_19
2016,"open science yes, but ... the reluctance of science to open: report on the open science conference 2017",,,,10.1515/iwp-2017-0057
1196,vanishing industries and the rising monopoly of universities in published research,,"anecdotes abound regarding the decline of basic research in industrial and governmental settings, but very little empirical evidence exists about the phenomenon. this article provides a systematic and historical analysis of the contribution of various institutional sectors to knowledge production at the world and country levels across the past four decades. it highlights a dramatic decline in the diffusion of basic research by industrial and governmental sectors across all countries-with a corresponding increase in the share from universities-as well as an increase of partnerships between universities and other sectors. results also shows an increase in the relative share of industries in applied research, as measured through patents. such divergence in university and industry research activities may hinder industries' ability to translate basic knowledge into technological innovation, and could lead to a growing misalignment between doctoral training and future job expectations. industries and universities must rethink strategies for partnerships and publishing to maximize scientific progress and to ensure the greatest gains for society.",american universities; government relations; triple-helix; open science;; firms; innovation; knowledge; dynamics,10.1371/journal.pone.0202120
1872,"a re-analysis of the data in sharkey et al.'s (2021) minimalist revision reveals that bins do not deserve names, but bold systems needs a stronger commitment to open science",,"halting biodiversity decline is one of the most critical challenges for humanity, but monitoring biodiversity is hampered by taxonomic impediments. one impediment is the large number of undescribed species (here called ``dark taxon impediment'') whereas another is caused by the large number of superficial species descriptions, that can only be resolved by consulting type specimens (''superficial description impediment''). recently, sharkey et al. (2021) proposed to address the dark taxon impediment for costa rican braconid wasps by describing 403 species based on coi barcode clusters (''bins'') computed by bold systems. more than 99\% of the bins (387 of 390) were converted into species by assigning binominal names (e.g. bin ``bold:acm9419'' becomes bracon federicomatarritai) and adding a minimal diagnosis (consisting only of a consensus barcode for most species). we here show that many of sharkey et al.'s species are unstable when the underlying data are analyzed using different species delimitation algorithms. add the insufficiently informative diagnoses, and many of these species will become the next ``superficial description impediment'' for braconid taxonomy because they will have to be tested and redescribed after obtaining sufficient evidence for confidently delimiting species. we furthermore show that sharkey et al.'s approach of using consensus barcodes as diagnoses is not functional because it cannot be applied consistently. lastly, we reiterate that coi alone is not suitable for delimiting and describing species, and voice concerns over sharkey et al.'s uncritical use of bins because they are calculated by a proprietary algorithm (resl) that uses a mixture of public and private data. we urge authors, reviewers and editors to maintain high standards in taxonomy by only publishing new species that are rigorously delimited with open-access tools and supported by publicly available evidence.",species delimitation method; parasitoid flies diptera; dna barcodes;; conservacion guanacaste; taxonomy; morphology; sepsidae; genus;; identification; tachinidae,10.1111/cla.12489
1399,an open research facility for vision-based navigation onboard the international space station,,"this paper describes the vertigo goggles, a hardware upgrade to the spheres satellites that enables vision-based navigation research in the 6 degree-of-freedom, microgravity environment of the international space station (iss). the goggles include stereo cameras, an embedded x86 computer, a high-speed wireless communications system, and the associated electromechanical and software systems. the goggles were designed to be a modular, expandable, and upgradable open research test bed that have been used for a variety of other experiments by external researchers. in february 2013, the goggles successfully completed a hardware checkout on the iss and was used for initial vision-based navigation research. this checkout included a successful camera calibration by an astronaut onboard the iss. this paper describes the requirements, design, and operation of this test bed as well as the experimental results of its first checkout operations.",docking,10.1002/rob.21622
1797,one- and two-year visual outcomes from the moorfields age-related macular degeneration database: a retrospective cohort study and an open science resource,,"objectives to analyse treatment outcomes and share clinical data from a large, single-centre, well-curated database (8174 eyes/6664 patients with 120 756 single entries) of patients with neovascular age-related macular degeneration (amd) treated with anti-vascular endothelial growth factor (vegf). by making our depersonalised raw data openly available, we aim to stimulate further research in amd, as wet as set a precedent for future work in this area. setting retrospective, comparative, non-randomised electronic medical record (emr) database cohort study of the uk moorfields amd database with data extracted between 2008 and 2018. participants including one eye per patient, 3357 eyes/patients (61\% female). extraction criteria were ranibizumab or aflibercept injection, entry of `amd' in the diagnosis field of the emr and a minimum of 1 year of follow-up. exclusion criteria were unknown date of first injection and treatment outside of routine clinical care at moorfields before the first recorded injection in the database. main outcome measures primary outcome measure was change in va at 1 and 2 years from baseline as measured in early treatment diabetic retinopathy study letters. secondary outcomes were the number of injections and predictive factors for va gain. results mean va gain at 1 year and 2 years were +5.5 (95\% ci 5.0 to 6.0) and +4.9 (95\% ci 4.2 to 5.6) letters, respectively. fifty-four per cent of eyes gained >= 5 letters at 2 years, 63\% had stable va (-14 letters), 44\% of eyes maintained good va (70 letters). patients received a mean of 7.7 (95\% ci 7.6 to 7.8) injections during year 1 and 13.0 (95\% ci 12.8 to 13.2) injections over 2 years. younger age, lower baseline va and more injections were associated with higher va gain at 2 years. conclusion this study benchmarks high quality emr study results of real life amd treatment and promotes open science in clinical amd research by making the underlying data publicly available.",extend intravitreal therapy; growth-factor therapy; acuity outcomes;; neovascular amd; ranibizumab; aflibercept; treat,10.1136/bmjopen-2018-027441
1994,open science in mental health research,,,,10.1016/s2215-0366(17)30244-4
